Lake,Timepoint,Time,Depth,DO,Temperature,Light,pH,Conductivity,Chlorophyll,Phycocyanin,Production
TroutBog,20,1,3,0.53,5.09,,3.96,22,,,70.29288703
TroutBog,20,1,4,0.32,4.37,,3.88,23.1,,,70.29288703
TroutBog,20,1,5,0.27,4.42,,3.91,24.8,,,70.29288703
TroutBog,20,1,6,0.26,4.26,,3.96,29.1,,,70.29288703
TroutBog,20,1,7,0.25,4.37,,4.06,33.4,,,70.29288703
TroutBog,24,5,0,8.46,21.06,,4.11,19.7,7.59,0.74,34.5
TroutBog,24,5,1,8.12,16.63,,3.82,39.2,7.59,0.74,34.5
TroutBog,24,5,2,0.24,13.65,,4.05,22.6,7.59,0.74,34.5
TroutBog,24,5,3,0.44,5.94,,4.03,22.2,7.59,0.74,34.5
TroutBog,24,5,4,0.33,5.07,,3.98,23.3,7.59,0.74,34.5
TroutBog,24,5,5,0.3,4.94,,4,25.3,7.59,0.74,34.5
TroutBog,24,5,6,0.28,4.23,,4.23,32.1,7.59,0.74,34.5
TroutBog,24,5,7,0.26,4.38,,4.28,34.1,7.59,0.74,34.5
TroutBog,28,9,0,7.76,21.12,5006,4.16,19.2,17.41,3.4,29
TroutBog,28,9,1,7.58,21.09,37.7,4.1,19.8,17.41,3.4,29
TroutBog,28,9,2,6.27,20.91,19,3.81,37,17.41,3.4,29
TroutBog,28,9,3,0.62,7.66,6.8,4.03,22.3,17.41,3.4,29
TroutBog,28,9,4,0.48,6.16,7,4,22.2,17.41,3.4,29
TroutBog,28,9,5,0.37,4.82,1.2,3.93,23,17.41,3.4,29
TroutBog,28,9,6,0.31,4.34,2.6,3.93,25.3,17.41,3.4,29
TroutBog,28,9,7,0.29,4.24,2.4,4.13,25,17.41,3.4,29
TroutBog,32,13,0,8.51,21.22,8212,4.08,19.7,24.48,3.75,4.5
TroutBog,32,13,1,0.37,13.57,278,3.75,38.1,24.48,3.75,4.5
TroutBog,32,13,2,0.26,7.7,79.5,3.93,22.4,24.48,3.75,4.5
TroutBog,32,13,3,0.22,4.83,61.2,3.89,22.1,24.48,3.75,4.5
TroutBog,32,13,4,0.22,4.36,58.4,3.95,23.4,24.48,3.75,4.5
TroutBog,32,13,5,0.2,4.23,94.6,3.99,25.5,24.48,3.75,4.5
TroutBog,32,13,6,0.2,4.34,75.1,4.24,31.8,24.48,3.75,4.5
TroutBog,32,13,7,0.2,4.47,53.4,4.65,54,24.48,3.75,4.5
TroutBog,36,17,0,8.79,22.34,472,4.08,19.6,15.01,0.79,97.81512605
TroutBog,36,17,1,1.05,14.47,99.9,3.63,42.3,15.01,0.79,97.81512605
TroutBog,36,17,2,0.37,7.52,98.8,4.03,22.6,15.01,0.79,97.81512605
TroutBog,36,17,3,0.28,4.77,98.6,3.93,22.3,15.01,0.79,97.81512605
TroutBog,36,17,4,0.25,4.31,106.8,3.65,23.4,15.01,0.79,97.81512605
TroutBog,36,17,5,0.23,4.23,100.4,3.97,25.6,15.01,0.79,97.81512605
TroutBog,36,17,6,0.22,4.35,101,4.4,33.3,15.01,0.79,97.81512605
TroutBog,36,17,7,0.22,4.46,95.3,4.44,57.3,15.01,0.79,97.81512605
TroutBog,40,21,0,8.76,22.73,145.2,4.13,19.6,6.7,0.22,34.6207975
